axle_description,weight_per_axle,description_summary,axle_count,group_count,approx_axle_length,axle_length,max_axle_width,axle_group_summary,axles_per_group,axle_group_tire_type,axle_group_width,axle_operating_weights,axle_group_weight,axle_group_max_width,axle_group_total_weight,axle_group_distance
fusce congue diam id ornare imperdiet sapien urna,349397.65,erat fermentum justo nec,8,3,14.96,9.85,8.19,dis parturient montes nascetur,4,2,23.39,52740.04,30123.84,32.57,86848.33,35.13
id luctus nec molestie sed justo,476453.62,imperdiet nullam,4,6,19.63,16.83,8.6,enim sit amet,3,2,26.03,33801.97,80493.52,35.91,55264.51,32.68
rutrum neque aenean auctor gravida sem praesent id massa id,214055.46,luctus et ultrices posuere cubilia,7,8,7.64,8.37,15.3,sagittis dui vel nisl duis,4,4,45.61,90091.27,56702.58,42.24,28039.97,33.02
eu nibh quisque id justo sit amet sapien,257758.9,vestibulum proin,9,7,9.06,15.9,10.82,dictumst maecenas ut,4,4,43.25,44161.52,75572.81,24.94,36638.74,35.75
accumsan tortor quis turpis sed,488338.85,duis bibendum,5,4,14.73,7.99,11.08,ultrices libero non mattis,4,4,21.73,14511.73,17762.21,44.46,27525.62,46.92
massa volutpat convallis morbi odio odio elementum,462645.0,rhoncus aliquet pulvinar sed nisl,7,5,12.69,11.07,15.31,vel pede morbi,2,3,48.37,93034.91,67721.47,20.09,97213.64,34.56
penatibus et magnis dis parturient montes nascetur ridiculus mus,160532.7,blandit lacinia erat,3,6,12.92,17.72,15.28,elit sodales scelerisque mauris,3,4,39.14,68827.51,47478.56,49.61,51601.99,42.56
justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,148236.18,curabitur gravida,5,7,10.48,7.36,6.54,nisl duis,4,4,24.6,24049.37,34785.85,36.83,49932.61,34.3
natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,464561.13,tincidunt lacus,3,9,11.54,19.81,14.46,velit id pretium iaculis diam,2,4,34.02,16666.94,91646.84,31.17,33888.1,36.77
mi in porttitor pede justo,257689.53,eleifend pede,8,4,17.46,17.23,8.14,blandit non interdum in,3,4,38.53,71975.69,47111.16,27.57,68000.19,45.08
ac est lacinia nisi venenatis tristique fusce congue diam id,454134.0,aenean lectus pellentesque eget,8,9,9.57,17.69,8.51,tincidunt nulla mollis molestie,3,3,30.47,69246.61,49732.87,29.19,90663.66,45.39
faucibus orci luctus et ultrices posuere cubilia curae mauris,225957.97,pellentesque ultrices phasellus id sapien,5,3,18.65,12.32,16.59,posuere cubilia curae,3,2,47.62,69803.29,75284.75,39.66,64928.4,37.0
eget rutrum at lorem integer tincidunt ante vel,445541.06,gravida sem praesent id,10,7,18.37,8.54,15.86,nam congue,2,4,25.65,54511.8,13453.39,20.97,84285.78,33.71
parturient montes nascetur ridiculus mus vivamus vestibulum,283367.27,eget eros,6,4,14.21,11.37,11.98,sed justo,3,3,21.52,94727.87,99128.12,40.71,38988.67,24.87
in quis justo maecenas rhoncus aliquam lacus morbi,426553.95,praesent id massa,6,8,8.16,16.35,12.69,ultrices posuere cubilia curae,2,3,40.26,49329.56,97377.93,48.25,14319.91,48.29
morbi porttitor lorem id ligula suspendisse ornare consequat,344938.16,pellentesque at nulla suspendisse potenti,5,7,18.86,13.68,13.72,ultrices aliquet,4,4,48.65,75341.46,98810.91,33.68,43307.86,32.49
massa donec dapibus duis at velit eu est,255492.48,ut nulla sed,6,4,15.77,7.63,13.98,eu massa donec,4,4,24.53,63297.49,64760.84,32.49,99782.2,44.47
ornare imperdiet sapien urna pretium nisl ut,198141.73,consequat metus,10,7,7.36,16.07,7.83,in felis eu,3,3,49.35,21982.25,16280.49,24.64,44566.12,38.82
nec dui luctus rutrum nulla tellus,214754.92,fringilla rhoncus,5,3,11.55,14.18,13.19,et ultrices posuere,2,4,34.71,32948.98,77113.01,42.21,46381.78,49.29
metus aenean fermentum donec ut mauris eget massa,429319.25,cubilia curae nulla dapibus,5,7,15.64,8.02,8.95,in lectus pellentesque at nulla,4,4,42.35,58263.74,97854.2,37.64,64864.38,42.4
suspendisse potenti cras in purus eu magna vulputate luctus,396163.75,sollicitudin vitae,4,2,11.62,17.49,7.04,consequat dui nec nisi volutpat,4,2,33.28,45152.83,95358.54,40.61,99849.53,49.08
id ornare imperdiet sapien urna pretium nisl ut volutpat,282413.08,eget vulputate ut ultrices,3,4,14.67,14.52,19.44,sapien cum sociis natoque,3,2,31.16,60081.75,49091.31,25.98,21313.1,20.91
erat quisque erat eros viverra eget congue,326213.97,vestibulum aliquet ultrices erat,3,7,6.26,19.95,9.56,nunc viverra dapibus nulla,4,3,35.3,94782.14,19644.1,44.23,50786.3,23.82
potenti cras in purus eu magna vulputate luctus,168226.1,felis donec semper sapien a,5,9,16.87,15.5,7.68,nulla elit ac nulla,3,2,47.63,51558.46,54443.44,31.72,18195.4,46.99
odio donec vitae nisi nam ultrices libero non,459282.52,fusce congue diam id,4,4,14.53,8.46,13.11,tincidunt in,4,2,49.36,79001.0,62859.94,42.32,69361.51,41.24
pede libero quis orci nullam molestie nibh,433610.58,nam dui proin leo odio,3,3,15.11,15.34,13.81,dictumst etiam faucibus cursus,4,2,48.33,90350.24,86269.42,21.42,21397.89,24.98
elementum in hac habitasse platea,115106.78,elementum eu interdum,10,3,8.41,17.2,15.15,eu mi,2,4,26.16,57627.96,64838.61,41.57,92006.67,26.46
diam neque vestibulum eget vulputate ut ultrices vel,380071.8,id nisl venenatis lacinia,9,6,10.93,10.72,12.87,sapien cursus vestibulum proin eu,3,4,26.91,92900.6,29485.9,40.79,65974.37,49.41
mauris enim leo rhoncus sed vestibulum sit,353461.96,elementum in hac,10,4,11.7,10.35,15.5,et ultrices,4,3,30.7,83073.26,91245.7,25.26,25966.44,49.41
in eleifend quam a odio in hac habitasse platea,309230.29,lacus morbi sem,8,2,15.83,9.8,18.61,maecenas tincidunt lacus,2,2,47.74,93330.2,43719.37,28.43,71509.49,44.98
id pretium iaculis diam erat fermentum,378310.11,sapien quis libero nullam,10,8,10.76,10.44,18.6,consequat dui,2,2,48.42,76069.16,25807.94,36.08,13898.11,30.47
lectus vestibulum quam sapien varius ut blandit,140425.86,lorem quisque ut,6,2,10.42,11.24,10.18,ante ipsum primis,4,4,30.65,71484.34,31348.51,23.96,23453.03,35.78
in sapien iaculis congue vivamus metus arcu adipiscing,323762.3,eget congue eget semper rutrum,9,3,9.31,13.51,6.38,mus etiam,3,4,41.57,75622.45,85765.62,29.53,94647.76,30.04
praesent lectus vestibulum quam sapien varius ut,248249.42,nunc viverra dapibus nulla suscipit,5,9,15.38,15.28,18.44,enim leo rhoncus,3,4,42.43,86816.85,95084.62,32.44,50219.78,30.37
aliquam convallis nunc proin at turpis a,318694.87,porttitor pede justo,3,6,11.31,15.85,15.93,vel accumsan tellus,2,2,24.87,18003.11,20636.37,25.62,78243.47,44.31
velit nec nisi vulputate nonummy maecenas tincidunt lacus,155959.73,diam in magna bibendum imperdiet,3,2,16.25,10.27,17.77,iaculis justo in,3,4,33.59,51709.94,41807.13,36.57,38195.83,44.13
ut ultrices vel augue vestibulum,147251.88,pellentesque ultrices mattis odio,9,10,19.81,19.07,6.49,odio elementum eu interdum,2,4,29.75,70554.79,88028.14,41.84,33294.93,37.52
vitae ipsum aliquam non mauris morbi non lectus,152270.03,sollicitudin vitae consectetuer eget rutrum,4,2,6.59,18.02,15.81,sollicitudin ut suscipit a,4,2,33.83,95384.83,11018.03,31.36,81147.51,32.7
sapien quis libero nullam sit,425803.29,at nulla,6,6,19.94,6.65,9.76,interdum in ante,4,3,27.28,51003.01,61182.49,35.7,49041.34,45.3
magna vestibulum aliquet ultrices erat tortor,339958.12,integer ac,6,4,7.81,9.51,18.03,ac est lacinia,3,3,39.23,57353.29,56309.06,42.46,72532.57,22.62
semper rutrum nulla nunc purus phasellus in felis,238589.55,consequat nulla nisl nunc,3,4,15.12,10.76,17.7,amet nunc viverra dapibus nulla,4,4,38.62,45066.09,37996.74,39.59,51252.03,31.0
sed vestibulum sit amet cursus id turpis integer,408617.47,cubilia curae donec pharetra,7,8,13.24,12.66,15.79,curae duis faucibus accumsan,2,2,47.06,77124.85,75649.98,22.18,88441.8,42.9
nec dui luctus rutrum nulla tellus in sagittis,441879.74,in faucibus orci luctus,7,5,17.89,12.01,18.91,ultricies eu nibh quisque,3,3,28.78,77547.63,62623.52,21.57,13157.01,36.72
metus aenean fermentum donec ut mauris eget massa tempor,398971.18,in faucibus,4,4,9.72,13.44,15.06,leo maecenas pulvinar lobortis,2,3,42.72,79806.62,31571.83,27.19,30981.53,31.5
elementum ligula vehicula consequat morbi a ipsum,470025.2,in congue etiam,5,3,10.14,16.03,19.53,primis in faucibus,4,2,48.59,28434.55,91655.26,39.43,75422.41,41.0
at velit vivamus vel nulla,479424.35,vel lectus in,6,8,10.28,10.08,10.46,est risus auctor sed tristique,3,2,41.95,50406.78,54222.3,32.93,26961.65,32.14
vel accumsan tellus nisi eu orci,103609.61,magnis dis parturient,3,2,9.04,9.84,15.05,donec semper sapien a libero,2,3,33.6,76472.33,34852.55,34.91,37852.21,33.4
facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,282869.93,eget eros elementum,10,10,19.44,9.85,17.28,suspendisse potenti nullam porttitor,2,3,35.45,93704.65,39891.44,29.51,30931.73,33.67
curabitur gravida nisi at nibh,260494.53,sollicitudin mi sit,10,8,19.26,14.28,9.59,cursus id,4,3,29.57,46937.92,27993.71,45.57,18487.68,40.61
placerat praesent blandit nam nulla integer pede justo lacinia,436395.3,non pretium quis lectus suspendisse,10,3,16.88,11.37,16.53,proin risus praesent lectus,4,2,33.87,54492.51,62528.94,21.32,48590.25,49.24
nulla eget eros elementum pellentesque,109777.08,vitae nisl aenean lectus,5,10,8.1,13.0,9.55,nunc rhoncus dui,3,4,47.9,68262.85,67499.6,33.92,25407.9,24.59
id ligula suspendisse ornare consequat lectus in est risus,396031.62,nam tristique tortor eu pede,8,3,10.16,19.14,11.1,vestibulum aliquet ultrices,4,2,35.5,18723.92,54086.42,27.53,86120.38,44.23
libero convallis eget eleifend luctus,492076.92,amet nunc viverra dapibus,5,4,19.32,16.42,6.86,praesent lectus vestibulum quam,4,2,36.62,29343.67,72741.98,46.15,25634.94,25.29
praesent blandit nam nulla integer pede,229856.27,sed sagittis,6,4,9.22,15.82,10.29,nullam porttitor lacus,3,2,47.23,39559.13,94644.78,47.49,27198.97,43.05
ut volutpat sapien arcu sed augue aliquam,225915.94,tempor turpis nec,9,9,14.95,16.12,18.47,bibendum felis sed interdum venenatis,3,4,24.01,80879.51,42189.89,20.3,93948.29,42.25
sed nisl nunc rhoncus dui,402513.01,sed sagittis nam congue,7,6,17.93,19.17,10.6,nec sem duis aliquam,3,3,43.07,91714.25,98321.29,40.2,20314.68,48.61
nunc rhoncus dui vel sem sed,416089.34,hendrerit at vulputate vitae nisl,5,4,16.49,8.48,13.13,cras non velit,4,3,30.47,13104.38,59032.17,37.17,87936.88,47.58
odio odio elementum eu interdum,182421.73,rhoncus aliquet,4,3,18.44,7.35,15.28,sed magna at nunc commodo,3,4,47.73,38611.52,84350.67,28.96,50564.53,31.52
magna at nunc commodo placerat praesent,395227.91,velit donec diam neque vestibulum,6,2,16.81,10.53,14.56,nisi nam ultrices libero,4,4,33.73,22794.76,71201.6,36.77,61576.41,47.96
auctor sed tristique in tempus sit amet sem,406732.0,molestie lorem quisque ut,5,7,13.8,8.62,17.13,in faucibus orci,3,4,28.58,55766.93,51949.54,46.12,16815.88,24.31
proin leo odio porttitor id consequat in,171451.78,sapien urna pretium,6,8,18.97,18.37,12.33,ac lobortis vel dapibus at,3,4,31.15,87354.77,96765.47,21.79,83100.65,20.99
sed tristique in tempus sit amet sem,248063.47,nulla sed accumsan felis,9,6,9.88,16.86,15.08,commodo vulputate justo in,2,2,22.72,89741.32,46243.69,47.28,33626.69,32.81
felis sed interdum venenatis turpis enim blandit,355662.22,amet cursus id turpis,8,2,18.28,18.85,9.21,sollicitudin ut suscipit,2,3,36.63,37926.56,23359.12,29.48,31857.36,37.73
sem sed sagittis nam congue risus,298482.34,nam congue risus,9,4,17.54,16.95,9.31,justo etiam,2,2,36.96,22784.45,64744.94,32.47,36569.75,47.81
non quam nec dui luctus rutrum nulla,405832.24,blandit non interdum,3,7,14.67,13.78,16.06,rutrum rutrum neque,2,3,27.79,77811.9,40080.61,44.74,68036.47,41.28
amet lobortis sapien sapien non mi integer ac neque duis,119104.51,quam sapien varius,10,3,12.08,13.1,7.46,id ornare imperdiet,4,2,30.64,30262.68,47701.53,38.45,53709.74,38.67
dui vel sem sed sagittis,236932.84,ac enim in,7,6,15.27,8.24,16.61,curae duis faucibus accumsan odio,4,4,34.9,46155.56,98471.32,47.99,85798.63,23.03
sit amet consectetuer adipiscing elit proin risus,128912.74,primis in faucibus orci luctus,6,4,19.06,15.91,19.23,at dolor quis,4,2,49.61,92885.52,20526.01,33.96,35136.36,20.7
lacus morbi sem mauris laoreet ut rhoncus,299241.5,erat vestibulum sed magna,10,2,18.71,19.09,10.07,eget vulputate ut ultrices,3,2,29.86,35987.65,41610.54,38.75,13753.88,41.7
sit amet sapien dignissim vestibulum,104404.59,montes nascetur ridiculus,8,6,15.95,6.52,15.54,vitae nisl aenean lectus,4,4,37.37,58317.64,94725.49,33.15,11751.33,40.15
interdum mauris ullamcorper purus sit,275296.81,erat id mauris,3,10,16.64,10.71,6.93,etiam vel augue vestibulum,2,3,28.12,98553.89,76226.03,25.39,64084.19,29.71
ipsum integer a nibh in quis justo maecenas,359260.91,dis parturient montes,7,2,17.86,8.16,16.8,nibh quisque id justo,2,3,44.4,88436.88,73373.33,49.17,99892.04,46.42
amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,187685.1,sapien cum sociis natoque penatibus,4,8,12.39,9.84,19.02,ante vestibulum ante,4,3,45.92,46993.89,72919.48,45.4,70402.11,26.68
odio consequat varius integer ac leo pellentesque,202930.52,diam neque vestibulum eget vulputate,8,7,15.26,17.23,15.0,ac consequat metus sapien ut,4,3,39.24,70992.18,52960.74,33.84,88059.03,35.51
nulla pede ullamcorper augue a,307464.85,nunc nisl,8,6,12.7,17.22,14.83,amet consectetuer adipiscing,3,4,47.84,13919.5,68733.6,46.14,35855.33,43.69
nisi venenatis tristique fusce congue diam id,199038.23,vestibulum ante ipsum primis,4,5,13.19,10.53,16.46,aliquet pulvinar sed nisl nunc,2,4,33.63,36044.73,33739.04,43.6,99252.47,37.23
porttitor lacus at turpis donec posuere metus,283887.58,in faucibus orci luctus,10,10,13.58,12.36,19.96,metus vitae,4,4,35.43,16635.74,71852.46,37.64,41705.75,28.72
rhoncus aliquam lacus morbi quis,120531.61,est et,6,5,13.51,13.39,7.79,donec diam,4,2,41.45,46333.4,90890.05,44.44,76661.79,20.07
metus vitae ipsum aliquam non mauris morbi non lectus aliquam,354416.38,feugiat et eros vestibulum,6,7,14.74,17.84,13.64,neque duis bibendum morbi,2,4,46.56,27717.63,46227.0,23.63,94809.09,36.13
luctus rutrum nulla tellus in sagittis dui vel nisl duis,247072.98,eu sapien cursus vestibulum proin,9,3,7.63,15.58,13.47,nisl nunc nisl duis,2,4,37.49,73243.74,89576.41,27.02,13358.0,34.0
vestibulum aliquet ultrices erat tortor sollicitudin mi,409884.35,ultrices posuere cubilia curae mauris,6,9,17.3,18.16,17.49,et magnis dis parturient montes,2,3,34.16,91808.52,48429.47,30.69,80644.67,48.58
venenatis tristique fusce congue diam id ornare,224615.96,habitasse platea,3,10,12.48,18.49,10.17,in hac habitasse platea dictumst,4,4,46.5,80261.23,93414.14,26.22,72698.81,33.52
ligula in lacus curabitur at ipsum ac,414494.0,nunc nisl,4,2,10.09,10.11,7.25,convallis nunc proin at turpis,2,3,49.84,61584.46,69440.12,49.43,83290.63,21.74
mollis molestie lorem quisque ut erat curabitur gravida nisi at,168467.48,tortor id,8,9,19.28,7.55,16.79,aliquet at feugiat non pretium,3,2,21.88,44720.15,11041.73,41.51,96867.35,47.81
leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,179341.3,consequat ut nulla,6,3,7.93,16.12,19.21,dis parturient montes nascetur ridiculus,2,4,47.01,53262.74,87319.83,30.7,14198.82,34.33
curae mauris viverra diam vitae quam suspendisse potenti nullam,421197.41,lorem ipsum dolor,9,5,9.98,10.47,7.36,quam sapien varius ut blandit,3,2,45.72,23997.02,90975.18,32.21,67758.97,41.72
justo aliquam quis turpis eget elit sodales,484634.83,suspendisse ornare consequat,10,8,10.04,15.52,14.88,mauris sit amet eros suspendisse,2,2,23.77,86035.34,93197.26,29.17,85367.81,46.71
in imperdiet et commodo vulputate justo in blandit ultrices enim,420852.99,pretium iaculis justo in hac,10,10,18.97,16.14,17.23,nisi venenatis tristique fusce congue,2,3,21.56,78996.52,89757.77,33.65,61378.7,21.04
arcu adipiscing molestie hendrerit at vulputate vitae,263430.49,platea dictumst aliquam,8,10,15.6,11.04,14.84,duis mattis,4,3,40.16,68302.6,52311.59,34.02,55683.1,29.39
proin risus praesent lectus vestibulum,295671.8,eget orci vehicula condimentum curabitur,6,7,15.91,12.55,18.46,vestibulum sit amet cursus,4,4,49.03,66595.9,57586.05,39.8,63673.91,37.26
felis eu sapien cursus vestibulum proin eu mi nulla,116096.02,justo maecenas,6,6,19.41,11.88,10.74,integer pede justo,4,4,33.67,67957.96,11470.61,48.66,37984.77,43.11
faucibus cursus urna ut tellus nulla ut erat id mauris,121997.0,ante vel ipsum praesent,8,7,8.92,15.26,6.76,aliquam lacus morbi quis tortor,4,2,31.69,65402.72,46123.12,32.98,12600.18,44.35
lacus purus aliquet at feugiat non pretium quis lectus,160800.01,pede ac diam,3,2,16.99,13.12,17.43,duis bibendum felis,3,3,31.25,23041.06,74576.46,25.23,73108.0,37.48
aenean sit amet justo morbi ut odio cras mi,344654.95,feugiat non pretium quis,7,5,12.27,12.05,18.66,ornare imperdiet sapien,4,4,40.56,19102.24,12731.54,43.63,33715.7,38.46
aenean auctor gravida sem praesent id massa id,280921.49,non velit nec nisi,4,9,9.71,6.18,11.59,ipsum primis in faucibus,4,2,24.33,51718.45,40000.74,30.99,98665.07,34.21
parturient montes nascetur ridiculus mus,335263.08,morbi porttitor lorem,5,6,10.36,16.64,8.81,amet nulla quisque arcu libero,3,4,47.35,21543.55,37865.18,20.36,60855.42,22.19
ac tellus semper interdum mauris ullamcorper,174548.98,turpis elementum ligula vehicula consequat,3,6,17.62,10.67,8.68,dictumst maecenas ut,2,4,26.54,96621.36,62715.43,31.43,48967.39,43.42
lacus at turpis donec posuere metus,157029.64,vulputate vitae nisl,9,2,18.64,14.97,18.29,vestibulum sagittis sapien cum,4,4,47.65,15004.5,29390.57,35.2,18880.61,33.35
ultrices posuere cubilia curae mauris viverra diam,154628.64,nunc donec quis,9,4,10.02,15.12,15.39,quam suspendisse potenti nullam,3,2,49.24,90803.79,13722.5,21.4,69964.0,26.97
id luctus nec molestie sed justo,400305.32,nulla ac enim in tempor,8,9,9.71,10.73,8.61,pretium iaculis,2,2,40.41,41451.31,31191.94,48.81,25004.29,34.01
consequat morbi a ipsum integer a,327315.47,integer pede justo,9,6,13.03,11.09,16.54,pellentesque quisque porta volutpat,4,3,43.75,97424.77,49346.75,32.37,27771.23,24.75
platea dictumst maecenas ut massa,174680.54,sodales sed tincidunt eu felis,7,7,8.14,8.84,17.56,curabitur in libero ut,3,4,40.21,65891.05,89125.38,49.29,51130.7,24.72
lobortis sapien sapien non mi,165780.41,condimentum curabitur in libero,10,10,18.46,11.52,14.72,felis sed,2,4,35.55,74909.58,21452.73,26.95,46308.38,40.28
erat eros viverra eget congue eget semper rutrum nulla nunc,278874.12,dapibus dolor vel,8,6,13.95,12.48,9.63,ut dolor morbi vel lectus,2,4,22.17,29981.98,12413.2,30.75,87467.63,47.07
lorem ipsum dolor sit amet consectetuer adipiscing,488532.06,donec odio justo sollicitudin ut,4,4,10.37,13.8,8.82,vestibulum quam,4,4,25.75,16502.4,19286.09,43.93,95057.98,40.38
in lectus pellentesque at nulla suspendisse potenti,125408.29,ipsum dolor sit amet consectetuer,7,8,17.62,17.28,13.7,in lectus pellentesque at nulla,2,3,34.36,21893.36,88705.58,29.15,28094.0,22.55
adipiscing lorem vitae mattis nibh ligula nec sem duis,184372.82,interdum mauris ullamcorper purus,10,6,12.0,12.65,14.7,in congue etiam,4,3,20.02,14327.05,49315.53,43.21,19122.89,47.95
mattis nibh ligula nec sem duis aliquam,377426.59,aliquet at feugiat non pretium,5,5,18.8,19.3,18.18,mi pede,4,2,49.94,38960.19,21031.6,25.37,10565.59,30.94
dictumst aliquam augue quam sollicitudin vitae consectetuer,358505.42,sed vestibulum sit,5,3,6.16,7.94,14.04,nunc donec,2,3,37.92,29208.66,54540.3,30.15,14735.63,38.29
sit amet nulla quisque arcu libero rutrum ac lobortis vel,366859.0,adipiscing elit proin interdum,5,8,12.88,8.33,8.11,platea dictumst etiam faucibus cursus,2,3,37.43,59178.02,86867.28,43.44,91733.43,43.55
felis sed interdum venenatis turpis enim blandit mi in porttitor,322320.18,ac nibh,6,10,11.67,14.89,14.06,et commodo,3,2,41.41,40210.85,61531.83,23.16,23630.26,28.27
porta volutpat quam pede lobortis,315839.84,in purus,5,8,12.67,11.49,17.18,convallis eget,4,4,44.46,49140.88,58423.75,39.04,36822.75,36.39
cras non velit nec nisi vulputate nonummy maecenas,450336.56,in faucibus orci luctus et,8,10,15.92,10.67,19.58,bibendum imperdiet,4,4,31.8,31645.0,45269.84,37.54,18558.2,21.04
luctus et ultrices posuere cubilia,118426.41,nibh quisque id justo sit,8,8,18.76,17.5,9.76,volutpat eleifend donec ut,2,3,31.66,59511.19,24039.15,41.09,19951.49,23.68
aliquet ultrices erat tortor sollicitudin mi sit amet,286758.52,sem praesent id massa,3,5,19.18,7.57,12.58,pharetra magna vestibulum aliquet ultrices,3,3,37.85,85066.72,92422.11,47.49,33009.39,29.44
curae nulla dapibus dolor vel est,161305.84,vestibulum rutrum,8,3,6.72,6.57,16.43,fusce lacus,4,4,41.01,42557.0,57383.3,26.06,39221.62,37.56
auctor gravida sem praesent id massa id nisl venenatis,319011.0,sit amet,9,2,17.9,17.09,16.09,at velit vivamus vel nulla,3,4,33.12,96891.37,39963.72,40.83,97352.6,33.14
id nisl venenatis lacinia aenean,176529.71,tortor id,3,4,12.83,6.07,6.71,lacus purus aliquet at,3,4,25.25,82524.61,47611.43,42.44,44717.78,35.17
vestibulum quam sapien varius ut blandit non interdum in ante,332623.27,ultrices aliquet maecenas leo odio,10,6,10.13,7.23,6.07,pede lobortis ligula,4,2,26.75,41959.67,40888.16,33.48,75747.79,34.83
turpis elementum ligula vehicula consequat morbi,274985.41,integer tincidunt ante vel ipsum,5,4,13.08,17.49,9.01,sollicitudin mi sit,4,2,25.51,11456.41,38842.3,36.51,93932.36,45.27
eget elit sodales scelerisque mauris sit amet eros suspendisse,307062.02,velit vivamus vel nulla eget,7,7,11.08,7.72,19.53,nibh ligula nec,3,3,26.86,56769.0,71246.96,47.91,57140.9,31.5
posuere cubilia curae donec pharetra magna vestibulum,445492.26,libero nam dui proin,9,3,19.74,17.87,19.23,quis odio consequat varius integer,3,3,48.22,26766.77,55955.77,30.45,14595.79,26.29
lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,102142.12,ac consequat metus sapien ut,8,7,12.3,8.13,14.19,donec pharetra magna,3,3,37.88,17322.47,36440.61,26.96,93913.47,33.94
venenatis turpis enim blandit mi in porttitor,463097.57,quisque ut,8,7,8.35,19.06,11.0,elementum eu,4,3,29.98,64743.53,36862.49,29.13,98869.46,26.61
vulputate elementum nullam varius nulla facilisi cras non velit nec,474350.91,aliquam sit amet diam in,4,9,18.35,18.71,14.72,rutrum nulla tellus in,3,2,38.52,10778.85,51763.46,42.69,97884.39,28.19
ligula nec sem duis aliquam convallis nunc proin at turpis,108832.75,eget eros elementum,7,6,18.48,6.61,7.44,at dolor,3,4,43.06,22684.47,24744.42,43.27,75958.04,26.29
ultrices phasellus id sapien in sapien iaculis congue vivamus metus,474419.49,velit nec,4,7,13.67,19.62,6.27,venenatis tristique fusce congue,4,4,29.64,19603.65,88574.28,35.88,16172.62,33.95
consequat nulla nisl nunc nisl duis bibendum,299694.03,consectetuer eget rutrum,8,8,12.02,19.21,13.38,porttitor lorem id ligula,3,4,32.11,11051.29,97215.32,26.46,37813.06,20.73
ullamcorper purus sit amet nulla,116147.15,magna at nunc,9,7,15.82,8.75,15.07,magna vulputate luctus cum,4,2,35.63,68641.87,33188.14,30.86,14835.71,36.84
in sapien iaculis congue vivamus,341757.92,leo rhoncus sed vestibulum sit,5,5,16.6,6.15,6.58,nullam orci pede,4,2,47.28,76254.34,53327.64,32.26,29425.29,45.59
cubilia curae nulla dapibus dolor vel est,345847.47,quis turpis sed,9,9,15.78,18.02,6.82,pede malesuada in imperdiet et,2,3,49.27,59593.25,97105.47,49.72,56229.41,22.06
augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,376740.71,cursus id turpis integer,3,10,10.31,15.83,9.33,tortor risus dapibus,4,4,27.88,13214.87,46871.58,32.82,11518.69,22.15
volutpat in congue etiam justo etiam pretium iaculis justo,479671.76,mauris morbi non lectus aliquam,3,2,8.14,14.29,17.59,mauris vulputate,4,2,39.92,91246.43,39076.43,29.19,45720.75,30.77
